ZONA,ZONA -DIM,DIRECCION,CIUDAD,TELEFONO,LOCATION
1,ZONA  01,Cl 25 Cra 1 barrio El Dorado,Tunja,7424238,"(5.5362302, -73.3558807)"
1,DIM 06,CR 9a No 4  -46 Batallon Sucre,Chiquinquira,7262126,"(5.6110783, -73.8240518)"
1,DIM 07,Cl 25 Cr 1 Barrio el Dorado,Tunja,7400242,"(5.5362302, -73.3558807)"
1,DIM 08,Batallon Tarqui,Sogamoso,7702390,"(5.676363, -72.9586709)"
3,ZONA 03,Cr 80 No 4  -26 Tercera Brigada,Cali,3240625,"(3.3859765, -76.5456311)"
3,DIM 16,Cr 80 No 4  -26 Tercera Brigada,Cali,3240658,"(3.3859765, -76.5456311)"
3,DIM 17,Cr 80 No 4  -26 Tercera Brigada,Cali,3240658,"(3.3859765, -76.5456311)"
3,DIM 18,Via pradera Batalon Codazzi,Palmira,2703537 ,"(3.3859765, -76.5456311)"
3,DIM 19,Av. LA Habana Batallon Palacé,Buga,2280220,"(3.8920862, -76.2892404)"
3,DIM 20,Av Los Cuarteles BILOP,Popayan,8201378,"(3.8920862, -76.2892404)"
3,DIM 21,Cr 6 No 17  -51,Ipiales,7732530,"(0.8278746, -77.6420056)"
3,DIM 23,Av Colombia Cll 72 Boyaca,Pasto,7208084,"(1.207365, -77.271705)"
3,DIM 58,Cl 7 A No 3 A   -74,Buenaventura,2424321,"(3.8834736, -77.0513664)"
4,ZONA 04,Cr 77 C No 51  -158 Barrio Los colores,Medellin, 6050013,"(6.2638586, -75.5930443)"
4,DIM 25,Decimaseptima Brigada,Carepa, 6050013,"(7.7762132, -76.6540394)"
4,DIM 26,Cl 66 D No 39 A   -66 Batallon Giradot,Medellin, 6050013,"(6.2565399, -75.5493824)"
4,DIM 27,Calle 45 NO 18  -85 Batallon de Artilleria No 04,Medellin, 6050013,"(6.2339216, -75.5469341)"
4,DIM 28,Batallon de Servicio No 14 Cacique Pipaton p. Pal,Puerto berrrio,8335299,"(6.4883962, -74.4016635)"
4,DIM 29,Batallon Manosalva Florez,Quibdo,6050013,"(5.695633, -76.649812)"
4,DIM 48,Cr 77 C No 51  -158 Barrio Los colores,Medellin,6050013,"(6.2638586, -75.5930443)"
5,ZONA 05,Carrera 33 Calle 18 barrio San Alonso,Bucaramanga,6359992,"(7.1037464, -73.1066192)"
5,DIM 32,Carrera 33 Calle 18 barrio San Alonso,Bucaramanga,6359992,"(7.1037464, -73.1066192)"
5,DIM 33,Carretera Central via Bogota Barrio la Feria,Socorro,7272563,"(6.468665, -73.264041)"
5,DIM 34,Diagonal 52 entrada pueblo nuevo,Barrancabermeja,6223347,"(7.0621169, -73.8484773)"
5,DIM 35,Avenida el portico via a los cuarteles,Cucuta,5831359,"(7.8807741, -72.5016439)"
5,DIM 36,Avenida Santander Batallon Garcia Rovira,Pamplona, 5682642,"(7.367732, -72.654539)"
5,DIM 37,Kilometro 1 via a cucuta,Ocaña,5696427,"(7.9836201, -72.4434698)"
5,DIM 53,Decimaoctava Brigada,Arauca,8857088,"(7.076172, -70.710457)"
6,ZONA 06,Cra 8 Calle 12 Barrio Ancon Antiguas Instalaciones de la Sexta brigada,Ibague,2722083 2624470 ,"(4.4455887, -75.1439732)"
6,DIM 38,Cra 8 Calle 12 Barrio Ancon Antiguas Instalaciones de la Sexta brigada,Ibague,2722083 2624470 ,"(4.4455887, -75.1439732)"
6,DIM 40,Instalaiones Batallon Patriotas,Honda,2515215,"(4.59282, -74.111281)"
6,DIM 41,Cra 2 No 21 A   -02 Barrio Salsipuedes,Girardot,8335733,"(4.3045959, -74.8031414)"
6,DIM 57,Instalaciones Batallon Caicedo,Chaparral,2467754,"(3.7235639, -75.4901295)"
7,ZONA 07,K 1 via puerto López Séptima Brigada,Villavicencio,6603541  6674990,"(4.108864, -73.611604)"
7,DIM 05,K 1 via puerto López Séptima Brigada,Villavicencio,6674317,"(4.108864, -73.611604)"
7,DIM 09,Cl 6 cra 18 grupo guias,Yopal,6321838,"(5.3501285, -72.4028582)"
7,DIM 54,Kilometro 1 via Fuente de oro Batallon Vargas,Granada,6500268,"(3.1826233, -73.5900209)"
